Element_x,Year,emission,temperature
Direct emissions (N2O),2000,22.48074581,0.67246262
Direct emissions (N2O),2001,22.65660099,0.742463199
Direct emissions (N2O),2002,23.2147133,0.788997682
Direct emissions (N2O),2003,23.53901626,0.753127644
Direct emissions (N2O),2004,24.23741281,0.725570994
Direct emissions (N2O),2005,24.52723498,0.763923356
Direct emissions (N2O),2006,24.75043676,0.769544118
Direct emissions (N2O),2007,25.28002157,0.824857987
Direct emissions (N2O),2008,25.55280049,0.744008506
Direct emissions (N2O),2009,25.75892941,0.800929066
Direct emissions (N2O),2010,26.14045049,0.87240989
Direct emissions (N2O),2011,26.61271127,0.741637976
Direct emissions (N2O),2012,26.70228732,0.765143759
Direct emissions (N2O),2013,27.13268537,0.807087231
Direct emissions (N2O),2014,27.34139366,0.889203013
Direct emissions (N2O),2015,27.47467317,0.987950072
Direct emissions (N2O),2016,27.87446976,1.029705452
Direct emissions (N2O),2017,28.14927512,0.96242439
Direct emissions (N2O),2018,28.00802683,0.984364419
Direct emissions (N2O),2019,28.27395415,1.064004161
Emissions (CH4),2000,537.4957929,0.67443781
Emissions (CH4),2001,540.8932574,0.740186835
Emissions (CH4),2002,564.6720981,0.785797
Emissions (CH4),2003,556.7232872,0.752532751
Emissions (CH4),2004,574.5300239,0.721552338
Emissions (CH4),2005,573.8392628,0.76342424
Emissions (CH4),2006,579.1964509,0.772318941
Emissions (CH4),2007,572.4292669,0.821707157
Emissions (CH4),2008,569.9848798,0.736871188
Emissions (CH4),2009,577.3394236,0.798526388
Emissions (CH4),2010,573.3934581,0.866586802
Emissions (CH4),2011,584.6597529,0.745464717
Emissions (CH4),2012,582.8168848,0.768806115
Emissions (CH4),2013,576.2405173,0.804418668
Emissions (CH4),2014,583.4962969,0.88852756
Emissions (CH4),2015,594.5571566,0.978924302
Emissions (CH4),2016,583.2044871,1.028572392
Emissions (CH4),2017,585.2903343,0.959412584
Emissions (CH4),2018,589.518579,0.975087124
Emissions (CH4),2019,596.0480655,1.054091221
Emissions (CO2),2000,12238.23402,0.681313986
Emissions (CO2),2001,10949.43118,0.746266625
Emissions (CO2),2002,13018.58407,0.790370556
Emissions (CO2),2003,12238.75286,0.760928079
Emissions (CO2),2004,13105.52257,0.725422034
Emissions (CO2),2005,12662.04558,0.76469298
Emissions (CO2),2006,13202.1349,0.778745658
Emissions (CO2),2007,11981.78652,0.827978886
Emissions (CO2),2008,11847.86499,0.741978918
Emissions (CO2),2009,12579.5305,0.804292342
Emissions (CO2),2010,11765.80582,0.866504423
Emissions (CO2),2011,8458.596836,0.754656917
Emissions (CO2),2012,8408.041033,0.777438473
Emissions (CO2),2013,8396.673776,0.808031053
Emissions (CO2),2014,8768.480327,0.896558791
Emissions (CO2),2015,9411.521701,0.985370447
Emissions (CO2),2016,9767.768213,1.034378845
Emissions (CO2),2017,9576.981822,0.964805477
Emissions (CO2),2018,10198.42961,0.981864333
Emissions (CO2),2019,10923.98535,1.057960838
Emissions (CO2eq) (AR5),2000,28114.88471,0.678924554
Emissions (CO2eq) (AR5),2001,27559.5921,0.744906844
Emissions (CO2eq) (AR5),2002,29748.9726,0.790204101
Emissions (CO2eq) (AR5),2003,29062.75394,0.758498263
Emissions (CO2eq) (AR5),2004,30319.11564,0.725395044
Emissions (CO2eq) (AR5),2005,30031.43437,0.764547602
Emissions (CO2eq) (AR5),2006,30594.42054,0.775863298
Emissions (CO2eq) (AR5),2007,29774.23846,0.826943987
Emissions (CO2eq) (AR5),2008,29632.01827,0.742305692
Emissions (CO2eq) (AR5),2009,30299.86307,0.802822556
Emissions (CO2eq) (AR5),2010,29841.25837,0.867040167
Emissions (CO2eq) (AR5),2011,28032.79866,0.750480377
Emissions (CO2eq) (AR5),2012,27989.0359,0.773082062
Emissions (CO2eq) (AR5),2013,27762.07776,0.807304965
Emissions (CO2eq) (AR5),2014,28273.76971,0.893728459
Emissions (CO2eq) (AR5),2015,29026.96357,0.98433947
Emissions (CO2eq) (AR5),2016,29083.29113,1.031838786
Emissions (CO2eq) (AR5),2017,29114.06631,0.963920753
Emissions (CO2eq) (AR5),2018,29552.979,0.981258488
Emissions (CO2eq) (AR5),2019,30239.06061,1.059027319
Emissions (CO2eq) from CH4 (AR5),2000,15049.88217,0.67443781
Emissions (CO2eq) from CH4 (AR5),2001,15145.01122,0.740186835
Emissions (CO2eq) from CH4 (AR5),2002,15810.81875,0.785797
Emissions (CO2eq) from CH4 (AR5),2003,15588.25202,0.752532751
Emissions (CO2eq) from CH4 (AR5),2004,16086.84066,0.721552338
Emissions (CO2eq) from CH4 (AR5),2005,16067.49935,0.76342424
Emissions (CO2eq) from CH4 (AR5),2006,16217.50062,0.772318941
Emissions (CO2eq) from CH4 (AR5),2007,16028.01952,0.821707157
Emissions (CO2eq) from CH4 (AR5),2008,15959.57657,0.736871188
Emissions (CO2eq) from CH4 (AR5),2009,16165.50385,0.798526388
Emissions (CO2eq) from CH4 (AR5),2010,16055.01678,0.866586802
Emissions (CO2eq) from CH4 (AR5),2011,16370.47304,0.745464717
Emissions (CO2eq) from CH4 (AR5),2012,16318.87277,0.768806115
Emissions (CO2eq) from CH4 (AR5),2013,16134.73448,0.804418668
Emissions (CO2eq) from CH4 (AR5),2014,16337.89633,0.88852756
Emissions (CO2eq) from CH4 (AR5),2015,16647.60037,0.978924302
Emissions (CO2eq) from CH4 (AR5),2016,16329.72564,1.028572392
Emissions (CO2eq) from CH4 (AR5),2017,16388.12935,0.959412584
Emissions (CO2eq) from CH4 (AR5),2018,16506.52022,0.975087124
Emissions (CO2eq) from CH4 (AR5),2019,16689.34578,1.054091221
Emissions (CO2eq) from N2O (AR5),2000,7316.777503,0.674259627
Emissions (CO2eq) from N2O (AR5),2001,7506.319104,0.741204445
Emissions (CO2eq) from N2O (AR5),2002,7704.619815,0.787066771
Emissions (CO2eq) from N2O (AR5),2003,7750.504686,0.753642254
Emissions (CO2eq) from N2O (AR5),2004,7987.294222,0.723384733
Emissions (CO2eq) from N2O (AR5),2005,8032.104395,0.764451684
Emissions (CO2eq) from N2O (AR5),2006,8078.628079,0.773070561
Emissions (CO2eq) from N2O (AR5),2007,8266.699368,0.822786731
Emissions (CO2eq) from N2O (AR5),2008,8261.287455,0.738857404
Emissions (CO2eq) from N2O (AR5),2009,8272.419886,0.799346742
Emissions (CO2eq) from N2O (AR5),2010,8460.868503,0.867357918
Emissions (CO2eq) from N2O (AR5),2011,8662.201859,0.745950824
Emissions (CO2eq) from N2O (AR5),2012,8684.443685,0.768864012
Emissions (CO2eq) from N2O (AR5),2013,8630.557181,0.805342026
Emissions (CO2eq) from N2O (AR5),2014,8718.879102,0.889306812
Emissions (CO2eq) from N2O (AR5),2015,8773.776989,0.980121026
Emissions (CO2eq) from N2O (AR5),2016,8851.636674,1.028749233
Emissions (CO2eq) from N2O (AR5),2017,8968.224447,0.960681069
Emissions (CO2eq) from N2O (AR5),2018,8879.10722,0.976175048
Emissions (CO2eq) from N2O (AR5),2019,8919.47239,1.055354963
Emissions (N2O),2000,27.61047995,0.674259627
Emissions (N2O),2001,28.32573107,0.741204445
Emissions (N2O),2002,29.07403527,0.787066771
Emissions (N2O),2003,29.24718588,0.753642254
Emissions (N2O),2004,30.1407313,0.723384733
Emissions (N2O),2005,30.30982618,0.764451684
Emissions (N2O),2006,30.48538869,0.773070561
Emissions (N2O),2007,31.19509226,0.822786731
Emissions (N2O),2008,31.17466965,0.738857404
Emissions (N2O),2009,31.21667938,0.799346742
Emissions (N2O),2010,31.92780599,0.867357918
Emissions (N2O),2011,32.68755467,0.745950824
Emissions (N2O),2012,32.77148647,0.768864012
Emissions (N2O),2013,32.56813998,0.805342026
Emissions (N2O),2014,32.90142902,0.889306812
Emissions (N2O),2015,33.10859199,0.980121026
Emissions (N2O),2016,33.40240287,1.028749233
Emissions (N2O),2017,33.84235544,0.960681069
Emissions (N2O),2018,33.50606553,0.976175048
Emissions (N2O),2019,33.65838746,1.055354963
Indirect emissions (N2O),2000,6.721998522,0.67246262
Indirect emissions (N2O),2001,6.766307882,0.742463199
Indirect emissions (N2O),2002,6.938200493,0.788997682
Indirect emissions (N2O),2003,7.033910345,0.753127644
Indirect emissions (N2O),2004,7.236739409,0.725570994
Indirect emissions (N2O),2005,7.327237438,0.763923356
Indirect emissions (N2O),2006,7.393836765,0.769544118
Indirect emissions (N2O),2007,7.55615,0.824857987
Indirect emissions (N2O),2008,7.618730882,0.744008506
Indirect emissions (N2O),2009,7.683710784,0.800929066
Indirect emissions (N2O),2010,7.804385784,0.87240989
Indirect emissions (N2O),2011,7.946448039,0.741637976
Indirect emissions (N2O),2012,7.97664,0.765143759
Indirect emissions (N2O),2013,8.098130244,0.807087231
Indirect emissions (N2O),2014,8.15493122,0.889203013
Indirect emissions (N2O),2015,8.19122439,0.987950072
Indirect emissions (N2O),2016,8.306482439,1.029705452
Indirect emissions (N2O),2017,8.381372195,0.96242439
Indirect emissions (N2O),2018,8.327185854,0.984364419
Indirect emissions (N2O),2019,8.40002,1.064004161
