adm0_name,personal earnings,Household net wealth
Australia,49126,427064
Austria,50349,308325
Belgium,49675,386006
Canada,47622,423849
Denmark,51466,118637
Finland,42964,200827
France,43755,280653
Germany,47585,259667
Greece,26064,150134
Hungary,22576,104458
Ireland,47653,217130
Italy,36658,279889
Japan,40863,305878
Korea,35191,285980
Luxembourg,63062,769053
Netherlands,52877,157824
New Zealand,40043,388514
Norway,51212,228936
Poland,27046,210991
Portugal,25367,232666
Slovak Republic,24328,119696
Spain,38507,373548
United Kingdom,43732,548392
United States,60558,632100
Chile,25879,100967
Estonia,24336,159373
Latvia,23683,70160
Slovenia,34933,203044
Sweden,42393,
Switzerland,62283,
Israel,35067,
Mexico,15314,
Czech Republic,25372,
Iceland,61787,
